Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
3 BHK Apartment for Sale in New International Airport Road Bangalore,₹1.60 Cr,Puravankara Purva Zenium,17+,₹10724 per sqft,Carpet Area,1031 sqft,Status,Ready to Move,Floor,13 out of 13,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,,
2 BHK Apartment for Sale in New International Airport Road Bangalore,₹1.15 Cr,Puravankara Purva Zenium,19+,₹9551 per sqft,Carpet Area,850 sqft,Status,Ready to Move,Floor,1 out of 10,Transaction,New Property,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,,,Bathroom,2,Balcony,1
2 BHK Apartment for Sale in New International Airport Road Bangalore,₹98 Lac,Godrej Aqua,10+,₹8574 per sqft,Carpet Area,950 sqft,Status,Ready to Move,Floor,11 out of 12,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,,,Bathroom,2,Balcony,1
3 BHK Apartment for Sale in New International Airport Road Bangalore,₹1.55 Cr,Godrej Aqua,15+,₹8158 per sqft,Super Area,1900 sqft,Status,Ready to Move,Floor,5 out of 12,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,,,Bathroom,3,Balcony,2
3 BHK Apartment for Sale in New International Airport Road Bangalore,₹75.3 Lac,Y V Warrior Central Bay,4+,₹4900 per sqft,Super Area,1537 sqft,Under Construction,Poss. by Oct '25,Floor,3 out of 3,Transaction,New Property,Furnishing,Unfurnished,,,Ownership,Freehold,,,Bathroom,3,Balcony,2
Plot/Land for Sale in New International Airport Road Bangalore,₹88 Lac,,12+,₹815 per sqft,Plot Area,10800 sqft,,,floors allowed for construction,1,Transaction,Resale,,,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,,,,
2 BHK Apartment for Sale in New International Airport Road Bangalore,₹80 Lac,Godrej Ananda,1,₹8222 per sqft,Super Area,973 sqft,Under Construction,Poss. by Sep '24,Floor,21 out of 28,Transaction,New Property,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Power Of Attorney,,,Bathroom,2,Balcony,1
House for Sale in New International Airport Road Bangalore,₹1.85 Cr,,4+,₹5139 per sqft,Carpet Area,3600 sqft,,,,,Transaction,Resale,,,,,,,,,,,,
Plot/Land for Sale in New International Airport Road Bangalore,₹47 Lac,,1,₹1175 per sqft,Plot Area,4000 sqft,,,,,Transaction,Resale,,,,,Ownership,Co-operative Society,,,,,,
3 BHK Apartment for Sale in New International Airport Road Bangalore,₹1.35 Cr,Puravankara Purva Zenium,1,₹9000 per sqft,Carpet Area,1050 sqft,Status,Ready to Move,Floor,9 out of 14,Transaction,Resale,Furnishing,Unfurnished,,,,,,,Bathroom,3,Balcony,1
