Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
"Plot/Land for Sale in Nobo Nagar, Bannerghatta Road",₹1.20 Cr,,3+,₹10000 per sqft,Plot Area,1200 sqft,,,floors allowed for construction,5,Transaction,Resale,,,overlooking,Main Road,Ownership,Freehold,,,,,,
"3 BHK Apartment for Sale in Phase 2 Tejaswini Nagar, Bannerghatta Road",₹1.25 Cr,Pariwar Passion,8+,N/A,Carpet Area,1610 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,3,Balcony,2
2 BHK Builder Floor for Sale in Bannerghatta Road Bangalore,₹45 Lac,,12+,₹4186 per sqft,Super Area,1075 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,Resale,Furnishing,Furnished,,,,,,,Bathroom,2,,
"3 BHK Apartment for Sale in BTM Layout, Bannerghatta Road",₹1.34 Cr,SNN Raj Bay Vista,2+,₹8961 per sqft,Carpet Area,1085 sqft,Under Construction,Poss. by Jan '26,Floor,3 out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,2,Balcony,1
4 BHK Villa for Sale in Bannerghatta Road Bangalore,₹1.85 Cr,Dwara Orville,3+,N/A,Carpet Area,2800 sqft,,,,,Transaction,New Property,Furnishing,Semi-Furnished,,,,,Car Parking,2 Covered,Bathroom,4,Balcony,3
"4 BHK House for Sale in BTM Layout Stage 1, Bannerghatta Road",₹3.20 Cr,,7+,₹12800 per sqft,Carpet Area,2400 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,4,Balcony,2
"3 BHK Apartment for Sale in Jigani, Bannerghatta Road",₹55 Lac,DLF Maiden Heights,8+,₹4393 per sqft,Super Area,1252 sqft,Status,Ready to Move,Floor,4 out of 12,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Open,Bathroom,3,Balcony,3
"Plot/Land for Sale in Nobo Nagar, Bannerghatta Road",₹2.30 Cr,Nobo Nagar,1,₹8214 per sqft,Plot Area,2800 sqft,,,,,Transaction,New Property,,,overlooking,Main Road,Ownership,Freehold,,,,,,
"2 BHK Apartment for Sale in Hulimavu, Bannerghatta Road",₹74 Lac,Advith Residency,14+,₹4728 per sqft,Carpet Area,1300 sqft,Status,Ready to Move,Floor,4 out of 5,Transaction,Resale,Furnishing,Unfurnished,,,Ownership,Freehold,,,Bathroom,2,Balcony,3
"Plot/Land for Sale in Bannerghatta, Bannerghatta Road",₹72 Lac,Jayaram Layout,2+,₹4000 per sqft,Plot Area,1800 sqft,,,floors allowed for construction,4,Transaction,Resale,,,,,,,,,,,,
"2 BHK Apartment for Sale in Bilekahalli, Bannerghatta Road",₹73 Lac,Mahaveer Ridge,8+,₹5935 per sqft,Super Area,1230 sqft,Status,Ready to Move,Floor,1 out of 3,Transaction,Resale,,,,,,,,,Bathroom,2,,
"3 BHK Apartment for Sale in Tavarekere, Bannerghatta Road",₹1.40 Cr,Rock Paradise,13+,₹7400 per sqft,Carpet Area,1590 sqft,Status,Ready to Move,Floor,Ground out of 4,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,2
3 BHK Apartment for Sale in Bannerghatta Road Bangalore,₹65 Lac,Sriven Sky Park,16+,₹3824 per sqft,Carpet Area,1700 sqft,Status,Ready to Move,Floor,2 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,2,Balcony,1
"3 BHK Apartment for Sale in Gottigere, Bannerghatta Road",₹1.65 Cr,Solaris,17+,₹9499 per sqft,Carpet Area,1435 sqft,Status,Ready to Move,Floor,12 out of 18,Transaction,Resale,Furnishing,Unfurnished,,,Ownership,Freehold,,,Bathroom,2,Balcony,3
"2 BHK Apartment for Sale in BTM Layout, Bannerghatta Road",₹47 Lac,Vandana Coral,13+,₹5602 per sqft,Carpet Area,755 sqft,Status,Ready to Move,Floor,2 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,Bathroom,2,Balcony,2
