Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
2 BHK Apartment for Sale in Bellandur Bangalore,₹90 Lac,Oceanus Ebony,5+,₹8435 per sqft,Carpet Area,1067 sqft,Status,Ready to Move,Floor,2 out of 3,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,,,Bathroom,2,Balcony,2
2 BHK Apartment for Sale in Bellandur Bangalore,₹1.75 Cr,Orchid Lakeview,16+,₹13661 per sqft,Carpet Area,1100 sqft,Status,Ready to Move,Floor,2 out of 13,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,,,Bathroom,2,Balcony,4
3 BHK Apartment for Sale in Bellandur Bangalore,₹2.80 Cr,Bren Paddington,16+,₹15686 per sqft,Carpet Area,1200 sqft,Status,Ready to Move,Floor,5 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,Car Parking,2 Covered,Bathroom,3,Balcony,1
2 BHK Apartment for Sale in Bellandur Bangalore,₹54 Lac,Sreeja Residency,12+,₹4821 per sqft,Super Area,1120 sqft,Status,Ready to Move,Floor,4 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,2,Balcony,1
3 BHK Apartment for Sale in Bellandur Bangalore,₹3.25 Cr,,17+,₹14977 per sqft,Carpet Area,2000 sqft,Status,Ready to Move,Floor,1 out of 12,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,2 Covered,Bathroom,3,Balcony,2
"2 BHK Apartment for Sale in Green Glen Layout, Bellandur",₹76 Lac,Mak Park View,14+,₹7884 per sqft,Carpet Area,850 sqft,Status,Ready to Move,Floor,2 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,2
3 BHK Apartment for Sale in Bellandur Bangalore,₹1 Cr,Pranavah Apple Blossom,13+,₹6464 per sqft,Super Area,1547 sqft,Status,Ready to Move,Floor,3 out of 3,Transaction,Resale,Furnishing,Furnished,,,,,Car Parking,1 Covered,Bathroom,3,Balcony,2
2 BHK Apartment for Sale in Bellandur Bangalore,₹1.05 Cr,Kethana Blossom,12+,₹8235 per sqft,Super Area,1275 sqft,Status,Ready to Move,Floor,Ground out of 5,Transaction,Resale,Furnishing,Furnished,,,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,,
2 BHK Apartment for Sale in Bellandur Bangalore,₹80 Lac,Pritam Woods,3+,₹6130 per sqft,Carpet Area,980 sqft,Status,Ready to Move,Floor,Ground out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,Bathroom,2,Balcony,2
Plot/Land for Sale in Bellandur Bangalore,₹1.70 Cr,Lake View,3+,₹10968 per sqft,Plot Area,1550 sqft,,,floors allowed for construction,5,Transaction,Resale,,,overlooking,Garden/Park,Ownership,Freehold,,,,,,
2 BHK Apartment for Sale in Bellandur Bangalore,₹1.30 Cr,Trinity Meadows,15+,₹9630 per sqft,Super Area,1350 sqft,Status,Ready to Move,Floor,Ground out of 3,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,,,,,Bathroom,2,Balcony,2
2 BHK Apartment for Sale in Bellandur Bangalore,₹1.20 Cr,Bren Paddington,12+,₹10909 per sqft,Carpet Area,1278 sqft,Status,Ready to Move,Floor,Ground out of 5,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,1
2 BHK Apartment for Sale in Bellandur Bangalore,₹1.60 Cr,,16+,₹10146 per sqft,Carpet Area,1400 sqft,Status,Ready to Move,Floor,8 out of 8,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool",Ownership,Freehold,Car Parking,2 Covered,Bathroom,2,Balcony,4
3 BHK Apartment for Sale in Bellandur Bangalore,₹2.77 Cr,Orchid Lakeview,1,₹15137 per sqft,Super Area,1830 sqft,Status,Ready to Move,Floor,11 out of 14,Transaction,Resale,Furnishing,Unfurnished,,,Ownership,Freehold,,,Bathroom,3,Balcony,5
"3 BHK Apartment for Sale in Green Glen Layout, Bellandur",₹1.15 Cr,Devina fragrance,4+,₹8487 per sqft,Carpet Area,1450 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,2,Balcony,3
"3 BHK Apartment for Sale in Green Glen Layout, Bellandur",₹1.45 Cr,,11+,₹8570 per sqft,Super Area,1692 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,Bathroom,3,Balcony,2
3 BHK Apartment for Sale in Bellandur Bangalore,₹1.40 Cr,,10+,₹8816 per sqft,Carpet Area,1480 sqft,Status,Ready to Move,Floor,7 out of 9,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,2,Balcony,2
2 BHK Apartment for Sale in Bellandur Bangalore,₹1.90 Cr,Adarsh Palm Retreat,8+,N/A,Carpet Area,1278 sqft,Status,Ready to Move,Floor,8 out of 10,Transaction,Resale,Furnishing,Furnished,,,,,,,Bathroom,2,Balcony,2
3 BHK Apartment for Sale in Bellandur Bangalore,₹1.20 Cr,Kristal Olivine,17+,₹8535 per sqft,Super Area,1406 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,2
"4 BHK Villa for Sale in Adarsh Palm Retreat, Bellandur",₹6.50 Cr,,14+,N/A,Carpet Area,3900 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,5,Balcony,4
2 BHK Apartment for Sale in Bellandur Bangalore,₹1.09 Cr,,3+,₹8183 per sqft,Carpet Area,932 sqft,Under Construction,Poss. by Mar '26,Floor,2 out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,1
3 BHK Apartment for Sale in Bellandur Bangalore,₹1.35 Cr,,20+,₹6750 per sqft,Carpet Area,1700 sqft,Status,Ready to Move,Floor,Ground out of 4,Transaction,Resale,Furnishing,Furnished,overlooking,Garden/Park,Ownership,Freehold,,,Bathroom,3,Balcony,2
3 BHK Apartment for Sale in Bellandur Bangalore,₹1.08 Cr,,1,₹6374 per sqft,Carpet Area,1186 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,2
2 BHK Apartment for Sale in Bellandur Bangalore,₹1.40 Cr,Tru Windchimes,3+,₹11814 per sqft,Super Area,1185 sqft,Under Construction,Poss. by Dec '24,Floor,Ground out of 5,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Pool, Garden/Park, Main Road",Ownership,Freehold,,,Bathroom,2,Balcony,1
2 BHK Apartment for Sale in Bellandur Bangalore,₹45 Lac,SB Residency,9+,₹5625 per sqft,Carpet Area,700 sqft,Status,Ready to Move,Floor,3 out of 6,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,,,Bathroom,2,Balcony,1
"2 BHK Apartment for Sale in Adarsh Palm Retreat, Bellandur",₹1.90 Cr,,8+,₹23750 per sqft,Super Area,800 sqft,Status,Ready to Move,Floor,8 out of 11,Transaction,Resale,Furnishing,Furnished,,,,,,,Bathroom,2,,
3 BHK Apartment for Sale in Bellandur Bangalore,₹1.81 Cr,Oceanus Freesia Enclave,17+,₹12355 per sqft,Super Area,1465 sqft,Status,Ready to Move,Floor,8 out of 9,Transaction,Resale,Furnishing,Unfurnished,overlooking,Main Road,Ownership,Co-operative Society,,,Bathroom,2,Balcony,3
4 BHK Apartment for Sale in Bellandur Bangalore,₹2.25 Cr,SVR Residency,1,₹10000 per sqft,Carpet Area,2100 sqft,Under Construction,Poss. by Sep '24,Floor,1 out of 4,Transaction,Resale,Furnishing,Unfurnished,,,Ownership,Freehold,,,Bathroom,4,Balcony,3
2 BHK Apartment for Sale in Bellandur Bangalore,₹96 Lac,,19+,₹7934 per sqft,Super Area,1210 sqft,Status,Ready to Move,Floor,Ground out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,,,Bathroom,2,Balcony,2
"4 BHK House for Sale in Yemalur, Bellandur",₹1.75 Cr,,11+,₹21875 per sqft,Carpet Area,800 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,,,,,Bathroom,5,Balcony,2
2 BHK Apartment for Sale in Bellandur Bangalore,₹90 Lac,Oceanus Ebony,5+,₹8435 per sqft,Carpet Area,1067 sqft,Status,Ready to Move,Floor,2 out of 3,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,,,Bathroom,2,Balcony,2
4 BHK Villa for Sale in Bellandur Bangalore,₹5.20 Cr,Aspen Greens At The Prestige City,4+,₹15458 per sqft,Carpet Area,3100 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,2 Covered,Bathroom,6,Balcony,3
"3 BHK Apartment for Sale in Adarsh Palm Retreat, Bellandur",₹3 Cr,,8+,₹14138 per sqft,Carpet Area,1374 sqft,Status,Ready to Move,Floor,7 out of 13,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,Bathroom,3,Balcony,2
"4 BHK Villa for Sale in Yemalur, Bellandur",₹10 Cr,77 East,12+,₹21349 per sqft,Carpet Area,4600 sqft,Status,Ready to Move,,,Transaction,New Property,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,2 Covered,Bathroom,5,Balcony,3
3 BHK Apartment for Sale in Bellandur Bangalore,₹1.08 Cr,,1,₹6374 per sqft,Carpet Area,1186 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,2
"3 BHK Apartment for Sale in Kariyammana Agrahara, Bellandur",₹2.50 Cr,Orchid Lakeview,15+,₹13889 per sqft,Carpet Area,1400 sqft,Status,Ready to Move,Floor,11 out of 14,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,2
"3 BHK Apartment for Sale in Adarsh Palm Retreat, Bellandur",₹2 Cr,Meridian Park at The Prestige City,16+,₹12012 per sqft,Carpet Area,1150 sqft,Under Construction,Poss. by Apr '25,Floor,2 out of 2,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool",Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,2
"3 BHK Apartment for Sale in Devarabisanahalli, Bellandur",₹3 Cr,Adarsh Palm Retreat Lakefront,3+,₹15504 per sqft,Carpet Area,1321 sqft,Under Construction,Poss. by Jun '25,Floor,8 out of 15,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,2
"4 BHK Apartment for Sale in Devarabisanahalli, Bellandur",₹4.35 Cr,Adarsh Palm Retreat Lakefront,2+,₹15000 per sqft,Carpet Area,1540 sqft,Under Construction,Poss. by Jun '25,Floor,5 out of 15,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,4,Balcony,4
2 BHK Apartment for Sale in Bellandur Bangalore,₹1.60 Cr,,16+,₹10146 per sqft,Carpet Area,1400 sqft,Status,Ready to Move,Floor,8 out of 8,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool",Ownership,Freehold,Car Parking,2 Covered,Bathroom,2,Balcony,4
2 BHK Apartment for Sale in Bellandur Bangalore,₹1.40 Cr,Tru Windchimes,3+,₹11814 per sqft,Super Area,1185 sqft,Under Construction,Poss. by Dec '24,Floor,Ground out of 5,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Pool, Garden/Park, Main Road",Ownership,Freehold,,,Bathroom,2,Balcony,1
3 BHK Apartment for Sale in Bellandur Bangalore,₹2.80 Cr,Vajram Esteva,11+,₹13195 per sqft,Carpet Area,1587 sqft,Status,Ready to Move,Floor,3 out of 12,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,2
3 BHK Apartment for Sale in Bellandur Bangalore,₹2.51 Cr,Sobha Iris,13+,₹15012 per sqft,Carpet Area,1169 sqft,Status,Ready to Move,Floor,8 out of 9,Transaction,Resale,Furnishing,Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,2
3 BHK Apartment for Sale in Bellandur Bangalore,₹2.10 Cr,Tru Windchimes,10+,₹12727 per sqft,Super Area,1650 sqft,Under Construction,Poss. by Jun '24,Floor,4 out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,,,,,Bathroom,3,Balcony,3
2 BHK Apartment for Sale in Bellandur Bangalore,₹45 Lac,SB Residency,9+,₹5625 per sqft,Carpet Area,700 sqft,Status,Ready to Move,Floor,3 out of 6,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,,,Bathroom,2,Balcony,1
2 BHK Apartment for Sale in Bellandur Bangalore,₹99 Lac,Kethana Blossom,4+,₹8049 per sqft,Carpet Area,1020 sqft,Status,Ready to Move,Floor,4 out of 5,Transaction,Resale,Furnishing,Unfurnished,overlooking,Pool,Ownership,Freehold,,,Bathroom,2,Balcony,2
