Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
3 BHK Apartment for Sale in BTM Layout Bangalore,₹1.34 Cr,SNN Raj Bay Vista,2+,₹8961 per sqft,Carpet Area,1085 sqft,Under Construction,Poss. by Jan '26,Floor,3 out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,2,Balcony,1
"4 BHK House for Sale in BTM Layout Stage 1, BTM Layout",₹3.20 Cr,,7+,₹12800 per sqft,Carpet Area,2400 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,4,Balcony,2
2 BHK Apartment for Sale in BTM Layout Bangalore,₹47 Lac,Vandana Coral,13+,₹5602 per sqft,Carpet Area,755 sqft,Status,Ready to Move,Floor,2 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,Bathroom,2,Balcony,2
6 BHK House for Sale in BTM Layout Bangalore,₹1.48 Cr,,11+,₹6167 per sqft,Carpet Area,2000 sqft,Status,Ready to Move,Floor,Ground out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,Bathroom,6,Balcony,1
"Plot/Land for Sale in NS Palya, BTM Layout",₹2.25 Cr,,4+,₹15000 per sqft,Plot Area,1500 sqft,,,floors allowed for construction,3,Transaction,Resale,,,,,,,,,,,,
"9 BHK House for Sale in BTM Layout Stage 2, BTM Layout",₹4.15 Cr,,20+,₹9881 per sqft,Carpet Area,3700 sqft,Status,Ready to Move,Floor,Ground out of 4,Transaction,Resale,Furnishing,Furnished,,,Ownership,Freehold,Car Parking,5 Covered,Bathroom,8,Balcony,8
"4 BHK House for Sale in Vishweshwaraiah Layout BDA Layout, BTM Layout",₹2.40 Cr,,4+,N/A,Carpet Area,3500 sqft,Status,Ready to Move,Floor,Upper Basement out of 3,Transaction,Resale,Furnishing,Furnished,overlooking,Garden/Park,Ownership,Freehold,,,Bathroom,4,Balcony,3
"2 BHK House for Sale in BTM Layout Stage 2, BTM Layout",₹1.75 Cr,,5+,₹29167 per sqft,Carpet Area,3000 sqft,Status,Ready to Move,Floor,Ground out of 5,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,,,,,Bathroom,2,,
"7 BHK House for Sale in BTM Layout Stage 1, BTM Layout",₹1.50 Cr,,1,₹7895 per sqft,Super Area,1900 sqft,Status,Ready to Move,Floor,Ground out of 3,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,6,,
"5 BHK Builder Floor for Sale in New Gurappana Palya, BTM Layout",₹3.24 Cr,,2+,₹18000 per sqft,Super Area,1800 sqft,Status,Ready to Move,Floor,2 out of 2,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,10,,
"Plot/Land for Sale in Vishweshwaraiah Layout BDA Layout, BTM Layout",₹1.51 Cr,,2+,₹12600 per sqft,Plot Area,1200 sqft,,,floors allowed for construction,1,Transaction,Resale,,,overlooking,Main Road,Ownership,Freehold,,,,,,
"Plot/Land for Sale in Vishweshwaraiah Layout BDA Layout, BTM Layout",₹3.50 Cr,,1,₹8750 per sqft,Plot Area,4000 sqft,,,,,Transaction,Resale,,,,,,,,,,,,
