Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
"1 BHK Apartment for Sale in Electronic City Phase 2, Electronic City",₹26 Lac,Aakruti Amity,11+,₹2600 per sqft,Carpet Area,750 sqft,Status,Ready to Move,Floor,Ground out of 12,Transaction,Resale,Furnishing,Unfurnished,,,,,,,Bathroom,1,,
"3 BHK Villa for Sale in Electronics City Phase 1, Electronic City",₹3.50 Cr,Concorde Silicon Valley,11+,₹13709 per sqft,Carpet Area,2300 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,3,Balcony,2
2 BHK Apartment for Sale in Electronic City Bangalore,₹29 Lac,Neela Apartments,7+,₹3295 per sqft,Super Area,880 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Furnished,,,,,,,Bathroom,2,Balcony,2
"Plot/Land for Sale in Chikkanagamangala, Electronic City",₹1.24 Cr,,2+,₹6200 per sqft,Plot Area,2000 sqft,,,floors allowed for construction,3,Transaction,Resale,,,overlooking,Main Road,Ownership,Freehold,,,,,,
3 BHK Apartment for Sale in Electronic City Bangalore,₹75 Lac,Pavani Chandana,17+,₹3750 per sqft,Super Area,2000 sqft,Status,Ready to Move,Floor,Ground out of 4,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,3,,
2 BHK Apartment for Sale in Electronic City Bangalore,₹65 Lac,,14+,₹5293 per sqft,Carpet Area,1100 sqft,Status,Ready to Move,Floor,Ground out of 12,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,Car Parking,2 Covered,Bathroom,2,,
"3 BHK Apartment for Sale in Electronic City Phase 2, Electronic City",₹67 Lac,Shriram Liberty Square,16+,₹6634 per sqft,Carpet Area,900 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Unfurnished,,,Ownership,Freehold,,,Bathroom,3,,
2 BHK Apartment for Sale in Electronic City Bangalore,₹45 Lac,JMR Rose,5+,₹4722 per sqft,Carpet Area,953 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,2
"3 BHK Villa for Sale in Electronic City Phase 2, Electronic City",₹1.75 Cr,Concorde Sylvan View,15+,₹8750 per sqft,Carpet Area,1747 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,3,Balcony,1
"3 BHK Apartment for Sale in Electronic City Phase 2, Electronic City",₹85 Lac,Akruti Amity Phase 2,15+,₹4620 per sqft,Carpet Area,1420 sqft,Status,Ready to Move,Floor,8 out of 10,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Pool, Garden/Park, Main Road",Ownership,Power Of Attorney,Car Parking,1 Open,Bathroom,3,Balcony,2
