Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
"1 BHK Apartment for Sale in Electronic City Phase 2, Hosur Road",₹26 Lac,Aakruti Amity,11+,₹2600 per sqft,Carpet Area,750 sqft,Status,Ready to Move,Floor,Ground out of 12,Transaction,Resale,Furnishing,Unfurnished,,,,,,,Bathroom,1,,
"Plot/Land for Sale in Attibele, Hosur Road",₹41 Lac,KHB Suryanagar Phase 3,1,₹3527 per sqft,Plot Area,1163 sqft,,,floors allowed for construction,3,Transaction,Resale,,,,,,,,,,,,
"Plot/Land for Sale in AECS Layout-Singasandra, Hosur Road",₹1.56 Cr,,2+,₹8700 per sqft,Plot Area,1800 sqft,,,,,Transaction,Resale,,,overlooking,Main Road,Ownership,Freehold,,,,,,
"3 BHK Apartment for Sale in HSR Layout, Hosur Road",₹1.24 Cr,Brundavan Presidency,3+,₹8000 per sqft,Carpet Area,1085 sqft,Under Construction,Poss. by Dec '26,Floor,1 out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,2
"3 BHK Apartment for Sale in BTM Layout, Hosur Road",₹1.34 Cr,SNN Raj Bay Vista,2+,₹8961 per sqft,Carpet Area,1085 sqft,Under Construction,Poss. by Jan '26,Floor,3 out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,2,Balcony,1
"4 BHK Villa for Sale in Vishwapriya Nagar, Hosur Road",₹95 Lac,,5+,₹5523 per sqft,Carpet Area,1600 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,1 Open,Bathroom,8,Balcony,8
"4 BHK House for Sale in BTM Layout Stage 1, Hosur Road",₹3.20 Cr,,7+,₹12800 per sqft,Carpet Area,2400 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,4,Balcony,2
"3 BHK Villa for Sale in Electronics City Phase 1, Hosur Road",₹3.50 Cr,Concorde Silicon Valley,11+,₹13709 per sqft,Carpet Area,2300 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,3,Balcony,2
"3 BHK Villa for Sale in Begur, Hosur Road",₹1.40 Cr,ISR Indraprastha,3+,₹7078 per sqft,Super Area,1978 sqft,Status,Ready to Move,,,Transaction,New Property,Furnishing,Unfurnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,4,Balcony,2
"Plot/Land for Sale in Kudlu Gate, Hosur Road",₹1.99 Cr,,2+,₹7000 per sqft,Plot Area,2844 sqft,,,,,Transaction,Resale,,,,,Ownership,Freehold,,,,,,
