Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
2 BHK Apartment for Sale in Indira Nagar Bangalore,₹1.65 Cr,,12+,₹14474 per sqft,Super Area,1140 sqft,Status,Ready to Move,Floor,1 out of 3,Transaction,Resale,Furnishing,Furnished,overlooking,Main Road,Ownership,Leasehold,,,Bathroom,2,Balcony,1
3 BHK Builder Floor for Sale in Indira Nagar Bangalore,₹3.50 Cr,Dharmika Sansa,15+,₹14894 per sqft,Carpet Area,2230 sqft,Status,Ready to Move,Floor,3 out of 3,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,4,Balcony,3
"2 BHK Apartment for Sale in Indira nagar Stage 2, Indira Nagar",₹1.20 Cr,,19+,₹20000 per sqft,Super Area,600 sqft,Status,Ready to Move,Floor,1 out of 2,Transaction,Resale,Furnishing,Furnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,2,Balcony,2
4 BHK House for Sale in Indira Nagar Bangalore,₹3.50 Cr,,20+,₹7292 per sqft,Carpet Area,4600 sqft,Status,Ready to Move,Floor,Ground out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",,,Car Parking,"1 Covered,",Bathroom,5,Balcony,1
4 BHK House for Sale in Indira Nagar Bangalore,₹7.10 Cr,,14+,₹24483 per sqft,Carpet Area,3800 sqft,Status,Ready to Move,Floor,1 out of 2,Transaction,Resale,Furnishing,Furnished,,,,,,,Bathroom,6,Balcony,2
Plot/Land for Sale in Indira Nagar Bangalore,₹2.76 Cr,,3+,₹23000 per sqft,Plot Area,1200 sqft,,,,,Transaction,Resale,,,,,,,,,,,,
3 BHK Apartment for Sale in Indira Nagar Bangalore,₹2.20 Cr,,19+,₹13374 per sqft,Carpet Area,1600 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,Bathroom,4,Balcony,2
"3 BHK Apartment for Sale in Binnamangala Stage 1 Indiranagar, Indira Nagar",₹2.50 Cr,,2+,₹14881 per sqft,Carpet Area,1280 sqft,Under Construction,Poss. by May '25,Floor,1 out of 5,Transaction,New Property,Furnishing,Unfurnished,,,Ownership,Freehold,,,Bathroom,3,Balcony,3
"5 BHK House for Sale in Indira nagar Stage 1, Indira Nagar",₹4.50 Cr,,8+,₹18750 per sqft,Carpet Area,2200 sqft,Status,Ready to Move,Floor,Ground out of 2,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,5,Balcony,3
2 BHK Apartment for Sale in Indira Nagar Bangalore,₹95 Lac,Srinivasa Residency,13+,₹7917 per sqft,Carpet Area,1000 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,2,Balcony,2
2 BHK Apartment for Sale in Indira Nagar Bangalore,₹45 Lac,DSR Divine,8+,₹4500 per sqft,Super Area,1000 sqft,Status,Ready to Move,Floor,3 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,Car Parking,1 Covered,Bathroom,1,Balcony,1
2 BHK Apartment for Sale in Indira Nagar Bangalore,₹80 Lac,,7+,₹7273 per sqft,Super Area,1100 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,2,Balcony,1
> 10 BHK House for Sale in Indira Nagar Bangalore,₹4.75 Cr,,16+,₹8636 per sqft,Carpet Area,5200 sqft,Status,Ready to Move,Floor,Ground out of 3,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,,
