Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
"2 BHK Apartment for Sale in Phase 1st JP Nagar, JP Nagar",₹1.40 Cr,,14+,₹9929 per sqft,Super Area,1410 sqft,Status,Ready to Move,Floor,1 out of 3,Transaction,New Property,Furnishing,Furnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,2,Balcony,2
"Plot/Land for Sale in Phase 2nd JP Nagar, JP Nagar",₹2 Cr,,2+,₹1748 per sqft,Plot Area,11440 sqft,,,floors allowed for construction,4,Transaction,Resale,,,,,,,,,,,,
"10 BHK House for Sale in Phase 8th JP Nagar, JP Nagar",₹4.50 Cr,,20+,₹6000 per sqft,Carpet Area,6700 sqft,Status,Ready to Move,Floor,Ground out of 3,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,4 Covered,Bathroom,10,Balcony,3
"2 BHK Apartment for Sale in Phase 9th JP Nagar, JP Nagar",₹75 Lac,Arya Elegance,12+,₹6881 per sqft,Carpet Area,980 sqft,Status,Ready to Move,Floor,Ground out of 4,Transaction,Resale,Furnishing,Furnished,overlooking,"Garden/Park, Main Road",Ownership,Co-operative Society,Car Parking,"1 Covered,",Bathroom,2,Balcony,1
Plot/Land for Sale in JP Nagar Bangalore,₹4.20 Cr,RBI Welfare Association,2+,₹17500 per sqft,Plot Area,2400 sqft,,,floors allowed for construction,3,Transaction,Resale,,,,,Ownership,Freehold,,,,,,
"4 BHK House for Sale in Phase 6 JP Nagar, JP Nagar",₹4 Cr,,13+,₹20000 per sqft,Carpet Area,1800 sqft,Status,Ready to Move,Floor,Ground out of 3,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,3,Balcony,2
"3 BHK Apartment for Sale in Nanjundeswara Layout, JP Nagar",₹3 Cr,,18+,₹12000 per sqft,Carpet Area,2100 sqft,Status,Ready to Move,Floor,1 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,3,Balcony,3
"3 BHK Apartment for Sale in Phase 4 JP Nagar, JP Nagar",₹2.48 Cr,Esteem Kings Court,12+,₹16052 per sqft,Carpet Area,1380 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,Resale,Furnishing,Furnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,2,Balcony,1
3 BHK Apartment for Sale in JP Nagar Bangalore,₹2 Cr,Shravanthi Palace,16+,₹10526 per sqft,Carpet Area,1600 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,4
3 BHK Apartment for Sale in JP Nagar Bangalore,₹92 Lac,Bhoomika Elites,20+,₹6790 per sqft,Carpet Area,1215 sqft,Status,Ready to Move,Floor,1 out of 3,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,Bathroom,2,Balcony,1
2 BHK Apartment for Sale in JP Nagar Bangalore,₹65 Lac,Surya Nilaya,10+,₹6190 per sqft,Carpet Area,950 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,,,Bathroom,2,Balcony,2
