Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
3 BHK Apartment for Sale in Mahadevapura Bangalore,₹84 Lac,Sai Krupa Apartments,6+,N/A,Carpet Area,1200 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,Resale,Furnishing,Furnished,,,Ownership,Freehold,,,Bathroom,2,Balcony,4
4 BHK Builder Floor for Sale in Mahadevapura Bangalore,₹2 Cr,Amruthas Sparkling Nest,20+,₹7212 per sqft,Carpet Area,2500 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",,,Car Parking,2 Covered,Bathroom,4,Balcony,1
"4 BHK Builder Floor for Sale in Akash Nagar, Mahadevapura",₹2 Cr,,7+,₹7678 per sqft,Carpet Area,2200 sqft,Status,Ready to Move,Floor,3 out of 3,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,Car Parking,2 Covered,Bathroom,5,,
"2 BHK Apartment for Sale in Pai Layout Mahadevapura, Mahadevapura",₹60 Lac,,4+,₹4979 per sqft,Super Area,1205 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,3
3 BHK Apartment for Sale in Mahadevapura Bangalore,₹1.25 Cr,Samhita Vista,11+,₹7440 per sqft,Carpet Area,1580 sqft,Status,Ready to Move,Floor,2 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,3,Balcony,2
"2 BHK Apartment for Sale in Pai Layout Mahadevapura, Mahadevapura",₹70 Lac,,16+,₹6542 per sqft,Super Area,1070 sqft,Status,Ready to Move,Floor,3 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,2,,
3 BHK Apartment for Sale in Mahadevapura Bangalore,₹2.55 Cr,Soul Space Arista,20+,₹13644 per sqft,Carpet Area,1800 sqft,Status,Ready to Move,Floor,5 out of 9,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,2 Covered,Bathroom,3,Balcony,2
"2 BHK House for Sale in Udaya nagar, Mahadevapura",₹1.70 Cr,,9+,₹14167 per sqft,Carpet Area,1000 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,2,Balcony,2
"Plot/Land for Sale in Udaya nagar, Mahadevapura",₹1.92 Cr,,3+,₹11852 per sqft,Plot Area,1620 sqft,,,floors allowed for construction,4,Transaction,Resale,,,,,,,,,,,,
"5 BHK House for Sale in A Narayanapura, Mahadevapura",₹1.70 Cr,,3+,₹5667 per sqft,Carpet Area,2400 sqft,Status,Ready to Move,Floor,Upper Basement out of 2,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,5,Balcony,1
2 BHK Apartment for Sale in Mahadevapura Bangalore,₹1.50 Cr,Nester Raga,19+,₹10331 per sqft,Carpet Area,1300 sqft,Status,Ready to Move,Floor,9 out of 11,Transaction,Resale,Furnishing,Furnished,,,Ownership,Power Of Attorney,Car Parking,1 Covered,Bathroom,2,Balcony,3
"6 BHK House for Sale in A narayanapura Extension, Mahadevapura",₹1.50 Cr,,20+,₹12766 per sqft,Super Area,1175 sqft,Status,Ready to Move,Floor,Ground out of 2,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,5,Balcony,2
"Plot/Land for Sale in B Narayanapura, Mahadevapura",₹2.16 Cr,,1,₹9000 per sqft,Plot Area,2400 sqft,,,floors allowed for construction,4,Transaction,Resale,,,overlooking,Main Road,Ownership,Freehold,,,,,,
"4 BHK House for Sale in Ashraya Layout, Mahadevapura",₹2.60 Cr,,8+,₹10156 per sqft,Carpet Area,1800 sqft,Status,Ready to Move,Floor,2 out of 3,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,"2 Covered,",Bathroom,4,Balcony,4
"1 BHK Apartment for Sale in Brigade Metropolis, Mahadevapura",₹2.10 Cr,,20+,₹16279 per sqft,Super Area,1290 sqft,Status,Ready to Move,Floor,3 out of 19,Transaction,Resale,,,overlooking,Garden/Park,Ownership,Freehold,,,Bathroom,2,Balcony,3
"4 BHK Villa for Sale in Ferns Habitat, Mahadevapura",₹4.50 Cr,,17+,₹16071 per sqft,Carpet Area,2580 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Unfurnished,,,Ownership,Freehold,,,Bathroom,4,Balcony,2
2 BHK Apartment for Sale in Mahadevapura Bangalore,₹65 Lac,,4+,₹6842 per sqft,Carpet Area,940 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,Resale,Furnishing,Furnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,2,Balcony,2
"Plot/Land for Sale in Garudachar Palya, Mahadevapura",₹91 Lac,,6+,₹7580 per sqft,Plot Area,1200 sqft,,,floors allowed for construction,3,Transaction,New Property,,,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,,,,
"6 BHK House for Sale in A Narayanapura, Mahadevapura",₹1.20 Cr,,20+,₹15000 per sqft,Super Area,800 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,Resale,Furnishing,Unfurnished,,,,,,,Bathroom,6,,
"6 BHK House for Sale in Udaya nagar, Mahadevapura",₹2.20 Cr,,17+,₹6111 per sqft,Super Area,3600 sqft,Status,Ready to Move,Floor,Ground out of 3,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,6,,
"2 BHK House for Sale in B Narayanapura, Mahadevapura",₹95 Lac,,12+,₹12667 per sqft,Super Area,750 sqft,Status,Ready to Move,Floor,2 out of 2,Transaction,Resale,Furnishing,Unfurnished,,,Ownership,Freehold,,,Bathroom,2,Balcony,1
2 BHK House for Sale in Mahadevapura Bangalore,₹1.50 Cr,Kanshiram Nagar,5+,₹12500 per sqft,Super Area,1200 sqft,Status,Ready to Move,Floor,1 out of 3,Transaction,Resale,Furnishing,Unfurnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,2,,
"4 BHK House for Sale in Pai Layout Mahadevapura, Mahadevapura",₹3 Cr,V Renaissance Pai Layout,1,₹18750 per sqft,Carpet Area,1200 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Furnished,,,,,,,Bathroom,4,Balcony,2
"Plot/Land for Sale in A Narayanapura, Mahadevapura",₹2.40 Cr,,1,₹10000 per sqft,Plot Area,2400 sqft,,,,,Transaction,Resale,,,,,Ownership,Freehold,,,,,,
3 BHK Apartment for Sale in Mahadevapura Bangalore,₹80 Lac,Sai Krupa Apartments,6+,₹6154 per sqft,Carpet Area,1300 sqft,Status,Ready to Move,Floor,Ground out of 3,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,3,,
3 BHK House for Sale in Mahadevapura Bangalore,₹1.80 Cr,,9+,₹15000 per sqft,Carpet Area,800 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Unfurnished,,,Ownership,Freehold,,,Bathroom,2,,
2 BHK Apartment for Sale in Mahadevapura Bangalore,₹70.7 Lac,Indus Innova,6+,₹5500 per sqft,Carpet Area,1270 sqft,Status,Ready to Move,Floor,4 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,2,Balcony,2
"2 BHK House for Sale in Udaya nagar, Mahadevapura",₹1 Cr,,18+,₹10000 per sqft,Carpet Area,1000 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Furnished,,,Ownership,Freehold,,,Bathroom,2,,
"6 BHK Builder Floor for Sale in Udaya nagar, Mahadevapura",₹1.05 Cr,,2+,₹4375 per sqft,Carpet Area,720 sqft,Status,Ready to Move,Floor,3 out of 3,Transaction,Resale,Furnishing,Unfurnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,7,Balcony,2
"2 BHK Apartment for Sale in Pai Layout Mahadevapura, Mahadevapura",₹72 Lac,,13+,₹4775 per sqft,Carpet Area,1450 sqft,Status,Ready to Move,Floor,1 out of 11,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Main Road",,,,,Bathroom,2,,
"Plot/Land for Sale in Udaya nagar, Mahadevapura",₹40 Lac,,N/A,₹7273 per sqft,Plot Area,550 sqft,,,floors allowed for construction,1,Transaction,Resale,,,,,,,,,,,,
"6 BHK Builder Floor for Sale in Udaya nagar, Mahadevapura",₹1.05 Cr,,2+,₹4375 per sqft,Carpet Area,720 sqft,Status,Ready to Move,Floor,3 out of 3,Transaction,Resale,Furnishing,Unfurnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,7,Balcony,2
"2 BHK Apartment for Sale in Akash Nagar, Mahadevapura",₹1.90 Cr,Brigade Metropolis,7+,₹13869 per sqft,Super Area,1370 sqft,Status,Ready to Move,Floor,17 out of 19,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,1
"2 BHK Apartment for Sale in Pai Layout Mahadevapura, Mahadevapura",₹72 Lac,,13+,₹4775 per sqft,Carpet Area,1450 sqft,Status,Ready to Move,Floor,1 out of 11,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Main Road",,,,,Bathroom,2,,
"4 BHK Villa for Sale in Mahadevapura Layout, Mahadevapura",₹4.75 Cr,DSR Elite,14+,₹14087 per sqft,Carpet Area,3365 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,2 Covered,Bathroom,4,Balcony,3
"2 BHK Apartment for Sale in Brigade Metropolis, Mahadevapura",₹1.75 Cr,Brigade Metropolis,19+,₹13566 per sqft,Carpet Area,1000 sqft,Status,Ready to Move,Floor,3 out of 20,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,3
