Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
3 BHK Apartment for Sale in Marathahalli Bangalore,₹1.05 Cr,Sonestaa Meadows,19+,₹7000 per sqft,Carpet Area,1400 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,2
8 BHK Villa for Sale in Marathahalli Bangalore,₹3.80 Cr,,20+,₹25333 per sqft,Carpet Area,1380 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,1 Covered,Bathroom,7,Balcony,3
"Studio Apartment for Sale in AECS Layout, Marathahalli",₹7 Cr,,20+,₹6087 per sqft,Carpet Area,11400 sqft,Status,Ready to Move,Floor,Ground out of 7,Transaction,New Property,Furnishing,Semi-Furnished,,,Ownership,Freehold,Car Parking,2 Covered,Bathroom,> 10,Balcony,> 10
2 BHK Apartment for Sale in Marathahalli Bangalore,₹1 Cr,Parimala Trinity,9+,₹8489 per sqft,Carpet Area,900 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool",,,,,Bathroom,2,Balcony,1
"3 BHK Apartment for Sale in Karthik Nagar, Marathahalli",₹1.20 Cr,,4+,₹7216 per sqft,Carpet Area,1663 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,New Property,Furnishing,Furnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,,,Bathroom,3,Balcony,4
2 BHK Apartment for Sale in Marathahalli Bangalore,₹1.65 Cr,Skycourt,11+,₹12731 per sqft,Carpet Area,900 sqft,Status,Ready to Move,Floor,9 out of 9,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,1
Studio Apartment for Sale in Marathahalli Bangalore,₹5 Cr,,6+,₹29762 per sqft,Carpet Area,1680 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,New Property,Furnishing,Semi-Furnished,,,,,,,Bathroom,5,,
3 BHK House for Sale in Marathahalli Bangalore,₹1.50 Cr,Damden Neptunia,12+,₹6906 per sqft,Super Area,2172 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Furnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,4,,
4 BHK Penthouse for Sale in Marathahalli Bangalore,₹3.65 Cr,,1,₹8488 per sqft,Carpet Area,3626 sqft,Status,Ready to Move,Floor,10 out of 12,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Main Road, Garden/Park, Pool",Ownership,Freehold,,,Bathroom,5,Balcony,3
5 BHK Apartment for Sale in Marathahalli Bangalore,₹5 Cr,,20+,₹15893 per sqft,Carpet Area,2680 sqft,Status,Ready to Move,Floor,5 out of 6,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,2 Covered,Bathroom,5,Balcony,3
8 BHK House for Sale in Marathahalli Bangalore,₹3 Cr,,5+,₹8333 per sqft,Super Area,3600 sqft,Status,Ready to Move,Floor,Ground out of 3,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,,,Bathroom,8,,
4 BHK House for Sale in Marathahalli Bangalore,₹3.60 Cr,,19+,₹13846 per sqft,Carpet Area,2300 sqft,Status,Ready to Move,Floor,1 out of 2,Transaction,Resale,Furnishing,Unfurnished,,,Ownership,Freehold,,,Bathroom,4,Balcony,1
