Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
3 BHK Apartment for Sale in Pulikeshi Nagar Bangalore,₹3.50 Cr,,19+,₹15217 per sqft,Super Area,2300 sqft,Status,Ready to Move,Floor,Ground out of 8,Transaction,Resale,Furnishing,Unfurnished,overlooking,Main Road,Ownership,Freehold,Car Parking,2 Covered,Bathroom,3,Balcony,3
3 BHK Apartment for Sale in Ashok Nagar Bangalore,₹4 Cr,Garden Apartments,9+,N/A,Carpet Area,1550 sqft,Status,Ready to Move,Floor,1 out of 7,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,3,Balcony,2
"3 BHK Apartment for Sale in Richmond Town, Richmond Town Bangalore",₹2.88 Cr,,2+,₹17386 per sqft,Carpet Area,1420 sqft,Under Construction,Poss. by Mar '25,Floor,Ground out of 5,Transaction,New Property,Furnishing,Unfurnished,overlooking,"Main Road, Garden/Park",Ownership,Freehold,,,Bathroom,3,Balcony,3
3 BHK Apartment for Sale in Halasuru Bangalore,₹1.90 Cr,Dheeraj Manor,16+,₹10000 per sqft,Carpet Area,1800 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,Bathroom,3,Balcony,2
"2 BHK Apartment for Sale in Victoria Layout, Victoria Layout, Victoria Road Bangalore",₹1.30 Cr,Vijay Kiran Apartments,12+,₹10833 per sqft,Carpet Area,1100 sqft,Status,Ready to Move,Floor,2 out of 3,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,,
4 BHK Apartment for Sale in Bhattarahalli Bangalore,₹2.75 Cr,Ohana,13+,₹10806 per sqft,Super Area,2545 sqft,Status,Ready to Move,Floor,10 out of 19,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,2 Covered,Bathroom,5,,
2 BHK Apartment for Sale in jc nagar flat Bangalore,₹1 Cr,,13+,₹7843 per sqft,Carpet Area,1100 sqft,Status,Ready to Move,Floor,2 out of 4,Transaction,Resale,Furnishing,Furnished,overlooking,"Garden/Park, Main Road",,,,,Bathroom,2,Balcony,2
3 BHK Apartment for Sale in Church Street Bangalore,₹3 Cr,,1,₹12000 per sqft,Super Area,2500 sqft,Status,Ready to Move,Floor,Ground out of 3,Transaction,Resale,Furnishing,Furnished,overlooking,Main Road,Ownership,Power Of Attorney,Car Parking,"2 Covered,",Bathroom,3,,
3 BHK Apartment for Sale in Vittal Mallya Road Bangalore,₹3.20 Cr,Garden Apartments,7+,₹18286 per sqft,Super Area,1750 sqft,Status,Ready to Move,Floor,3 out of 7,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,,
3 BHK Apartment for Sale in Pulikeshi Nagar Bangalore,₹2.75 Cr,frazer apartments,16+,₹13415 per sqft,Carpet Area,1750 sqft,Status,Ready to Move,Floor,2 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",,,Car Parking,1 Covered,Bathroom,3,Balcony,3
3 BHK Apartment for Sale in Shivaji Nagar Bangalore,₹1.29 Cr,,2+,₹8958 per sqft,Carpet Area,1200 sqft,Under Construction,Poss. by Oct '24,Floor,1 out of 5,Transaction,Resale,Furnishing,Unfurnished,,,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,2
"2 BHK Apartment for Sale in Sindhi Colony, Frazer Town Bangalore",₹1.50 Cr,Ranka D Paradise,9+,₹12500 per sqft,Carpet Area,1350 sqft,Status,Ready to Move,Floor,5 out of 5,Transaction,Resale,Furnishing,Furnished,,,Ownership,Leasehold,Car Parking,1 Open,Bathroom,2,Balcony,2
"4 BHK House for Sale in Raja Ram Mohanroy Extension, Sudhama Nagar Bangalore",₹7.35 Cr,,1,N/A,Carpet Area,2700 sqft,Status,Ready to Move,Floor,Ground out of 2,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,2,,
4 BHK Apartment for Sale in Pulikeshi Nagar Bangalore,₹2.90 Cr,Wellington Park,10+,₹9699 per sqft,Carpet Area,2400 sqft,Status,Ready to Move,Floor,Ground out of 4,Transaction,Resale,Furnishing,Furnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,4,Balcony,3
3 BHK Villa for Sale in Old Madras Road Bangalore,₹2 Cr,Villa Dews,5+,₹8000 per sqft,Carpet Area,2346 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,,,Bathroom,3,Balcony,1
5 BHK Builder Floor for Sale in Shivaji Nagar Bangalore,₹7.25 Cr,Chandana Apartments,16+,₹19079 per sqft,Super Area,3800 sqft,,,Floor,Ground out of 4,,,Furnishing,Semi-Furnished,,,,,,,Bathroom,5,Balcony,5
2 BHK Apartment for Sale in Horamavu Bangalore,₹80 Lac,SS Residency,6+,₹6349 per sqft,Carpet Area,1100 sqft,Status,Ready to Move,Floor,1 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,2
3 BHK Apartment for Sale in Old Madras Road Bangalore,₹2.50 Cr,Brigade Exotica,17+,₹7937 per sqft,Carpet Area,2400 sqft,Status,Ready to Move,Floor,20 out of 35,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,3,Balcony,2
3 BHK Apartment for Sale in Pulikeshi Nagar Bangalore,₹1.55 Cr,The Courtyard Square,6+,₹9688 per sqft,Super Area,1600 sqft,Status,Ready to Move,Floor,1 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,,,,,Car Parking,1 Covered,Bathroom,3,Balcony,3
