Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
"2 BHK Apartment for Sale in Manyata Tech Park, Nagavara",₹80 Lac,Arvind Sporcia,8+,₹9412 per sqft,Carpet Area,750 sqft,Status,Ready to Move,Floor,10 out of 20,Transaction,Resale,Furnishing,Unfurnished,,,,,,,Bathroom,2,,
"2 BHK Apartment for Sale in Veerannapalya, Nagavara",₹2 Cr,,5+,₹18018 per sqft,Carpet Area,745 sqft,Status,Ready to Move,Floor,3 out of 37,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,,,Bathroom,2,,
"2 BHK Apartment for Sale in Manyata Tech Park, Nagavara",₹1.05 Cr,,7+,₹7394 per sqft,Carpet Area,1200 sqft,Status,Ready to Move,Floor,14 out of 19,Transaction,New Property,Furnishing,Unfurnished,overlooking,Pool,Ownership,Freehold,,,Bathroom,2,Balcony,2
"3 BHK Apartment for Sale in Coffee Board layout, Nagavara",₹2.43 Cr,Canopy calyx,19+,₹7013 per sqft,Carpet Area,2755 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,2
"2 BHK Apartment for Sale in Coffee Board layout, Nagavara",₹1 Cr,Sai Kalyan Pardus,2+,₹6369 per sqft,Carpet Area,1235 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Furnished,,,,,,,Bathroom,2,Balcony,1
"2 BHK House for Sale in Saraipalya, Nagavara",₹10 Lac,,8+,N/A,Carpet Area,1350 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,2,,
"2 BHK Apartment for Sale in Manyata Tech Park, Nagavara",₹70 Lac,Swathi Gardenia,17+,₹5185 per sqft,Super Area,1350 sqft,,,Floor,2 out of 37,Transaction,Resale,Furnishing,Furnished,,,,,,,Bathroom,2,Balcony,2
3 BHK Apartment for Sale in Nagavara Bangalore,₹2 Cr,Mantri Lithos,12+,₹11364 per sqft,Super Area,1760 sqft,Status,Ready to Move,Floor,17 out of 20,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool",Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,3
"4 BHK Apartment for Sale in Coffee Board layout, Nagavara",₹2.30 Cr,Sai Kalyan Cubics,19+,₹10186 per sqft,Carpet Area,2258 sqft,Status,Ready to Move,Floor,4 out of 5,Transaction,Resale,Furnishing,Furnished,overlooking,Pool,Ownership,Freehold,Car Parking,2 Covered,Bathroom,4,Balcony,1
3 BHK Apartment for Sale in Nagavara Bangalore,₹98 Lac,Visalakshi Rajatha Greens,12+,₹7222 per sqft,Carpet Area,950 sqft,Status,Ready to Move,Floor,5 out of 8,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,,,Bathroom,2,Balcony,2
