Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
3 BHK Apartment for Sale in Richmond Town Bangalore,₹2.88 Cr,,2+,₹17386 per sqft,Carpet Area,1420 sqft,Under Construction,Poss. by Mar '25,Floor,Ground out of 5,Transaction,New Property,Furnishing,Unfurnished,overlooking,"Main Road, Garden/Park",Ownership,Freehold,,,Bathroom,3,Balcony,3
3 BHK Penthouse for Sale in Richmond Town Bangalore,₹3.50 Cr,Colonels Nest Apts,1,₹15351 per sqft,Super Area,2280 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,2 Covered,Bathroom,3,Balcony,8
3 BHK Apartment for Sale in Richmond Town Bangalore,₹1.85 Cr,Kay Arr Hidden Nest,9+,₹11104 per sqft,Super Area,1666 sqft,,,Floor,1 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,3,,
2 BHK Apartment for Sale in Richmond Town Bangalore,₹1.20 Cr,Ranka Park Apartments,10+,₹10084 per sqft,Super Area,1190 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,2,Balcony,2
2 BHK Builder Floor for Sale in Richmond Town Bangalore,₹1.10 Cr,,8+,₹8800 per sqft,Super Area,1250 sqft,Status,Ready to Move,Floor,2 out of 2,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,,,Car Parking,1 Covered,Bathroom,2,Balcony,2
3 BHK Apartment for Sale in Richmond Town Bangalore,₹3 Cr,Sukhi Apartments,12+,N/A,Carpet Area,2722 sqft,Status,Ready to Move,Floor,7 out of 7,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,1 Open,Bathroom,3,Balcony,1
3 BHK Apartment for Sale in Richmond Town Bangalore,₹6.90 Cr,Century Renata,4+,₹24993 per sqft,Super Area,2764 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,New Property,Furnishing,Unfurnished,overlooking,Garden/Park,,,Car Parking,2 Covered,Bathroom,3,Balcony,3
3 BHK Penthouse for Sale in Richmond Town Bangalore,₹6.50 Cr,Prestige Crown Court,18+,₹20641 per sqft,Carpet Area,3149 sqft,Status,Ready to Move,Floor,3 out of 3,Transaction,Resale,Furnishing,Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,2 Covered,Bathroom,3,Balcony,2
4 BHK Apartment for Sale in Richmond Town Bangalore,₹8 Cr,Bearys Cul De Sac,2+,₹24961 per sqft,Carpet Area,2510 sqft,Status,Ready to Move,Floor,2 out of 7,Transaction,New Property,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,2 Covered,Bathroom,4,Balcony,2
3 BHK Apartment for Sale in Richmond Town Bangalore,₹5.20 Cr,Ohana,12+,₹20265 per sqft,Super Area,2566 sqft,Status,Ready to Move,Floor,2 out of 6,Transaction,Resale,Furnishing,Unfurnished,overlooking,Main Road,Ownership,Freehold,Car Parking,2 Covered,Bathroom,4,Balcony,3
3 BHK Apartment for Sale in Richmond Town Bangalore,₹4.49 Cr,Bearys Cul De Sac,11+,₹20594 per sqft,Carpet Area,1748 sqft,Status,Ready to Move,Floor,5 out of 6,Transaction,New Property,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,"2 Covered,",Bathroom,4,Balcony,2
4 BHK Apartment for Sale in Richmond Town Bangalore,₹4.72 Cr,Britto 32 Richmond,17+,₹15984 per sqft,Carpet Area,1680 sqft,Status,Ready to Move,Floor,6 out of 8,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,Bathroom,4,Balcony,5
4 BHK Apartment for Sale in Richmond Town Bangalore,₹8.50 Cr,,14+,₹22398 per sqft,Carpet Area,2230 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,Resale,Furnishing,Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,"2 Covered,",Bathroom,4,Balcony,4
