Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
4 BHK Villa for Sale in Sarjapur Road Bangalore,₹1.90 Cr,Mana Foliage,15+,₹5758 per sqft,Carpet Area,3601 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,,,Bathroom,3,Balcony,3
3 BHK Apartment for Sale in Sarjapur Road Bangalore,₹2.20 Cr,Meridian Park at The Prestige City,15+,₹11796 per sqft,Carpet Area,1265 sqft,Under Construction,Poss. by Dec '25,Floor,2 out of 30,Transaction,New Property,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,2
"2 BHK Apartment for Sale in HSR Layout, Sarjapur Road",₹1.08 Cr,,3+,₹8932 per sqft,Carpet Area,848 sqft,Under Construction,Poss. by Mar '26,Floor,3 out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,1
2 BHK Apartment for Sale in Sarjapur Road Bangalore,₹62 Lac,Confident Orion,14+,₹5074 per sqft,Super Area,1222 sqft,Status,Ready to Move,Floor,1 out of 3,Transaction,Resale,Furnishing,Furnished,,,,,,,Bathroom,2,,
"Plot/Land for Sale in Kasavanahalli, Sarjapur Road",₹1.59 Cr,Pionier Lake Dew Residency,1,₹9500 per sqft,Plot Area,1680 sqft,,,floors allowed for construction,3,Transaction,Resale,,,overlooking,Main Road,Ownership,Freehold,,,,,,
Plot/Land for Sale in Sarjapur Road Bangalore,₹35 Lac,Concorde Mist Valley,1,₹1458 per sqft,Plot Area,2400 sqft,,,,,Transaction,Resale,,,,,Ownership,Freehold,,,,,,
5 BHK Villa for Sale in Sarjapur Road Bangalore,₹3.30 Cr,JR Greenwich,11+,₹15000 per sqft,Super Area,2200 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,4,Balcony,1
2 BHK Apartment for Sale in Sarjapur Road Bangalore,₹1.40 Cr,DSR Woodwinds,4+,₹10853 per sqft,Super Area,1290 sqft,Status,Ready to Move,Floor,4 out of 13,Transaction,Resale,Furnishing,Unfurnished,,,,,,,Bathroom,2,Balcony,2
3 BHK Apartment for Sale in Sarjapur Road Bangalore,₹1.50 Cr,Godrej Park Retreat,5+,₹12087 per sqft,Super Area,1241 sqft,Under Construction,Poss. by Nov '24,Floor,23 out of 27,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,,,Bathroom,2,Balcony,1
Plot/Land for Sale in Sarjapur Road Bangalore,₹6.50 Cr,Rainbow Residency,1,₹12683 per sqft,Plot Area,5125 sqft,,,floors allowed for construction,1,Transaction,Resale,,,,,,,,,,,,
"3 BHK Apartment for Sale in Bellandur, Sarjapur Road",₹2.80 Cr,Bren Paddington,16+,₹15686 per sqft,Carpet Area,1200 sqft,Status,Ready to Move,Floor,5 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,Car Parking,2 Covered,Bathroom,3,Balcony,1
"2 BHK Apartment for Sale in Sarjapur, Sarjapur Road",₹1.41 Cr,Uber Verdant 2,20+,₹11000 per sqft,Carpet Area,900 sqft,Status,Ready to Move,Floor,1 out of 13,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool",Ownership,Freehold,Car Parking,"2 Covered,",Bathroom,2,Balcony,2
1 BHK Apartment for Sale in Sarjapur Road Bangalore,₹60 Lac,Godrej Park Retreat,10+,₹10000 per sqft,Carpet Area,409 sqft,Under Construction,Poss. by Aug '24,Floor,14 out of 21,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,1,Balcony,1
2 BHK Apartment for Sale in Sarjapur Road Bangalore,₹1.48 Cr,Shriram Chirping Woods,11+,₹12333 per sqft,Carpet Area,1000 sqft,Status,Ready to Move,Floor,13 out of 19,Transaction,Resale,Furnishing,Unfurnished,,,Ownership,Freehold,,,Bathroom,2,Balcony,1
"Plot/Land for Sale in Bellandur, Sarjapur Road",₹1.70 Cr,Lake View,3+,₹10968 per sqft,Plot Area,1550 sqft,,,floors allowed for construction,5,Transaction,Resale,,,overlooking,Garden/Park,Ownership,Freehold,,,,,,
"Plot/Land for Sale in Sarjapur, Sarjapur Road",₹1.15 Cr,Gempark Address,5+,₹5750 per sqft,Plot Area,2000 sqft,,,floors allowed for construction,3,Transaction,Resale,,,overlooking,Main Road,Ownership,Freehold,,,,,,
"3 BHK Apartment for Sale in Sarjapur, Sarjapur Road",₹1.20 Cr,Trifecta Verdure,5+,₹10161 per sqft,Carpet Area,1181 sqft,Status,Ready to Move,Floor,Ground out of 5,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,2,Balcony,1
"3 BHK Apartment for Sale in HSR Layout, Sarjapur Road",₹1.43 Cr,Abhee Riviera Royale,1,₹9239 per sqft,Carpet Area,1200 sqft,Under Construction,Poss. by Jul '26,Floor,3 out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool",Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,2,Balcony,1
"5 BHK Villa for Sale in Sarjapur, Sarjapur Road",₹1.83 Cr,Sowparnika Life On The Green,3+,₹7376 per sqft,Carpet Area,1500 sqft,Under Construction,Poss. by Apr '26,,,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,2 Covered,Bathroom,4,Balcony,4
"Plot/Land for Sale in Sarjapur, Sarjapur Road",₹65 Lac,Shriram Malhaar,9+,₹5417 per sqft,Plot Area,1200 sqft,,,floors allowed for construction,2,Transaction,Resale,,,,,Ownership,Freehold,,,,,,
3 BHK Villa for Sale in Sarjapur Road Bangalore,₹3.06 Cr,Nambiar Ellegenza,12+,₹14373 per sqft,Super Area,2129 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,,,,,Car Parking,2 Covered,Bathroom,4,,
