Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
"2 BHK Apartment for Sale in Varthur, Whitefield",₹1.60 Cr,Tranquil at Brigade Cornerstone Utopia,5+,₹12708 per sqft,Super Area,1259 sqft,,,Floor,7 out of 22,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,,
2 BHK Apartment for Sale in Whitefield Bangalore,₹1.32 Cr,Sai Raghavendra Bloom Fields,17+,₹7904 per sqft,Super Area,1670 sqft,Status,Ready to Move,Floor,2 out of 3,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,2,Balcony,2
"2 BHK Apartment for Sale in Varthur, Whitefield",₹1.60 Cr,Eden At Brigade Cornerstone Utopia,15+,₹14585 per sqft,Super Area,1097 sqft,Status,Ready to Move,Floor,26 out of 26,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Pool, Garden/Park",Ownership,Freehold,,,Bathroom,2,Balcony,1
2 BHK Apartment for Sale in Whitefield Bangalore,₹83 Lac,,15+,₹6171 per sqft,Carpet Area,1076 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Pool,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,3
3 BHK Villa for Sale in Whitefield Bangalore,₹6 Cr,Prestige Lakeside Habitat,8+,₹19249 per sqft,Carpet Area,2900 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool",Ownership,Freehold,,,Bathroom,4,Balcony,4
3 BHK Villa for Sale in Whitefield Bangalore,₹3.10 Cr,Birla Alokya,3+,₹10333 per sqft,Carpet Area,2200 sqft,Status,Ready to Move,,,Transaction,New Property,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,,,Bathroom,4,Balcony,2
3 BHK Apartment for Sale in Whitefield Bangalore,₹2.75 Cr,Alembic Urban Forest,20+,₹14474 per sqft,Carpet Area,1400 sqft,Status,Ready to Move,Floor,19 out of 19,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,,,Bathroom,4,Balcony,2
2 BHK Apartment for Sale in Whitefield Bangalore,₹55 Lac,Sowparnika Ashiyana,4+,₹8462 per sqft,Super Area,650 sqft,Under Construction,Poss. by Dec '24,Floor,1 out of 8,Transaction,Resale,Furnishing,Furnished,,,Ownership,Freehold,,,Bathroom,2,Balcony,2
5 BHK Villa for Sale in Whitefield Bangalore,₹2.10 Cr,,11+,₹4667 per sqft,Carpet Area,3900 sqft,Status,Ready to Move,,,Transaction,New Property,Furnishing,Semi-Furnished,,,Ownership,Freehold,,,Bathroom,5,Balcony,3
"2 BHK Apartment for Sale in Channasandra, Whitefield",₹63 Lac,United Elysium 2,14+,₹5888 per sqft,Carpet Area,781 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,,,Bathroom,2,Balcony,2
